,record,bad,cumulative bad %,cumulative total %,pred_col
0.234,1,1,0.05350454788657035,0.01422070534698521,prob_Logistic
0.235,1,1,0.1070090957731407,0.02844141069397042,prob_Logistic
0.236,3,3,0.26752273943285176,0.07110352673492605,prob_Logistic
0.237,1,1,0.32102728731942215,0.08532423208191127,prob_Logistic
0.238,3,3,0.4815409309791332,0.12798634812286688,prob_Logistic
0.239,2,2,0.588550026752274,0.15642775881683732,prob_Logistic
0.241,2,2,0.6955591225254146,0.18486916951080773,prob_Logistic
0.242,6,6,1.0165864098448367,0.27019340159271904,prob_Logistic
0.243,5,4,1.2306046013911183,0.3412969283276451,prob_Logistic
0.244,6,4,1.4446227929373996,0.42662116040955633,prob_Logistic
0.245,1,1,1.4981273408239701,0.4408418657565415,prob_Logistic
0.246,5,3,1.6586409844836811,0.5119453924914675,prob_Logistic
0.247,1,1,1.7121455323702512,0.5261660978384528,prob_Logistic
0.248,3,3,1.8726591760299627,0.5688282138794084,prob_Logistic
0.25,2,1,1.9261637239165328,0.5972696245733788,prob_Logistic
0.252,1,1,1.9796682718031033,0.6114903299203641,prob_Logistic
0.254,3,3,2.140181915462814,0.6541524459613196,prob_Logistic
0.256,2,2,2.247191011235955,0.6825938566552902,prob_Logistic
0.257,2,2,2.354200107009096,0.7110352673492605,prob_Logistic
0.259,3,1,2.4077046548956664,0.7536973833902162,prob_Logistic
0.26,2,2,2.514713750668807,0.7821387940841865,prob_Logistic
0.261,5,4,2.7287319422150884,0.8532423208191127,prob_Logistic
0.262,4,3,2.889245585874799,0.9101251422070534,prob_Logistic
0.263,4,4,3.103263777421081,0.9670079635949944,prob_Logistic
0.264,11,9,3.584804708400214,1.1234357224118316,prob_Logistic
0.265,6,4,3.7988228999464955,1.2087599544937428,prob_Logistic
0.266,10,10,4.333868378812198,1.350967007963595,prob_Logistic
0.267,11,11,4.922418405564473,1.5073947667804324,prob_Logistic
0.268,6,5,5.1899411449973245,1.5927189988623434,prob_Logistic
0.269,4,4,5.403959336543606,1.6496018202502845,prob_Logistic
0.27,4,4,5.617977528089887,1.7064846416382253,prob_Logistic
0.271,5,5,5.8855002675227395,1.7775881683731514,prob_Logistic
0.272,5,3,6.046013911182451,1.8486916951080772,prob_Logistic
0.273,5,5,6.313536650615302,1.9197952218430034,prob_Logistic
0.274,2,2,6.420545746388442,1.948236632536974,prob_Logistic
0.275,4,3,6.5810593900481535,2.0051194539249146,prob_Logistic
0.276,8,6,6.902086677367576,2.1188850967007964,prob_Logistic
0.277,8,4,7.116104868913857,2.232650739476678,prob_Logistic
0.278,4,3,7.2766185125735685,2.289533560864619,prob_Logistic
0.279,9,7,7.651150347779562,2.4175199089874857,prob_Logistic
0.28,7,6,7.972177635098983,2.5170648464163823,prob_Logistic
0.281,14,13,8.667736757624397,2.7161547212741755,prob_Logistic
0.282,3,3,8.828250401284109,2.758816837315131,prob_Logistic
0.283,6,5,9.095773140716961,2.844141069397042,prob_Logistic
0.284,3,2,9.202782236490101,2.886803185437998,prob_Logistic
0.285,10,10,9.737827715355806,3.02901023890785,prob_Logistic
0.286,13,11,10.326377742108079,3.2138794084186575,prob_Logistic
0.287,19,13,11.021936864633494,3.4840728100113765,prob_Logistic
0.288,31,28,12.520064205457466,3.9249146757679183,prob_Logistic
0.289,12,12,13.162118780096307,4.09556313993174,prob_Logistic
0.29,12,11,13.750668806848582,4.266211604095563,prob_Logistic
0.291,6,6,14.071696094168004,4.351535836177475,prob_Logistic
0.292,6,4,14.285714285714285,4.436860068259386,prob_Logistic
0.293,9,7,14.660246120920279,4.564846416382252,prob_Logistic
0.294,15,9,15.14178705189941,4.778156996587031,prob_Logistic
0.295,6,3,15.302300695559124,4.863481228668942,prob_Logistic
0.296,5,3,15.462814339218834,4.934584755403868,prob_Logistic
0.297,2,1,15.516318887105404,4.963026166097839,prob_Logistic
0.298,8,4,15.730337078651685,5.07679180887372,prob_Logistic
0.299,8,7,16.10486891385768,5.190557451649601,prob_Logistic
0.3,5,5,16.37239165329053,5.261660978384528,prob_Logistic
0.301,5,2,16.479400749063668,5.332764505119454,prob_Logistic
0.302,12,4,16.693418940609952,5.503412969283277,prob_Logistic
0.303,5,3,16.853932584269664,5.5745164960182025,prob_Logistic
0.304,3,3,17.014446227929376,5.617178612059158,prob_Logistic
0.305,7,6,17.335473515248793,5.716723549488054,prob_Logistic
0.306,3,2,17.442482611021937,5.7593856655290105,prob_Logistic
0.307,7,6,17.763509898341358,5.858930602957907,prob_Logistic
0.308,9,6,18.084537185660782,5.986916951080774,prob_Logistic
0.309,4,3,18.24505082932049,6.043799772468715,prob_Logistic
0.31,7,3,18.405564472980203,6.143344709897611,prob_Logistic
0.311,9,5,18.673087212413055,6.271331058020478,prob_Logistic
0.312,5,5,18.940609951845907,6.342434584755403,prob_Logistic
0.313,7,4,19.154628143392188,6.4419795221843,prob_Logistic
0.314,5,4,19.368646334938468,6.513083048919227,prob_Logistic
0.315,6,5,19.63616907437132,6.598407281001138,prob_Logistic
0.316,7,5,19.903691813804173,6.697952218430034,prob_Logistic
0.317,2,0,19.903691813804173,6.726393629124004,prob_Logistic
0.318,2,1,19.957196361690745,6.754835039817975,prob_Logistic
0.319,2,0,19.957196361690745,6.783276450511945,prob_Logistic
0.32,7,3,20.117710005350457,6.882821387940842,prob_Logistic
0.321,10,8,20.545746388443018,7.025028441410694,prob_Logistic
0.322,2,1,20.59925093632959,7.053469852104664,prob_Logistic
0.323,7,4,20.81326912787587,7.153014789533561,prob_Logistic
0.324,2,2,20.92027822364901,7.181456200227531,prob_Logistic
0.325,3,2,21.02728731942215,7.224118316268487,prob_Logistic
0.326,5,3,21.187800963081862,7.2952218430034135,prob_Logistic
0.327,7,5,21.455323702514715,7.394766780432309,prob_Logistic
0.328,10,4,21.669341894060995,7.536973833902162,prob_Logistic
